dataset,layer_id,num_tokens,min_entropy,mean_entropy,diversity_ratio,fragmentation_ratio,min_entropy_l2,mean_l2
kv_retrieval,9,100224,0.0002,1.6719,0.7570,0.9407,16.6250,16.0000
kv_retrieval,10,100224,0.0001,1.2188,0.6869,0.9045,25.7500,22.3750
kv_retrieval,11,100224,0.0000,0.8945,0.5388,0.8674,37.0000,22.7500
kv_retrieval,12,100224,0.0003,1.1328,0.6722,0.8655,14.6875,18.3750
kv_retrieval,13,100224,0.0001,1.1172,0.6574,0.9172,24.6250,15.6875
kv_retrieval,14,100224,0.0000,0.5000,0.7307,0.9045,22.1250,17.8750
kv_retrieval,15,100224,0.0014,1.0312,0.7185,0.9010,20.1250,19.3750
kv_retrieval,16,100224,0.0003,0.6055,0.6286,0.7665,17.8750,15.5625
kv_retrieval,17,100224,0.0000,0.5859,0.7048,0.8124,16.2500,16.3750
kv_retrieval,18,100224,0.0000,0.7812,0.7054,0.8374,14.6250,18.8750
kv_retrieval,19,100224,0.0134,0.8945,0.7997,0.8098,111.5000,19.0000
kv_retrieval,20,100224,0.0005,0.6914,0.6094,0.8242,16.1250,17.1250
kv_retrieval,21,100224,0.0000,0.4824,0.6931,0.7919,19.2500,17.6250
kv_retrieval,22,100224,0.0000,0.6445,0.7204,0.8617,16.3750,16.0000
kv_retrieval,23,100224,0.0000,0.8242,0.7480,0.8698,21.0000,17.1250
kv_retrieval,24,100224,0.0000,0.6289,0.6814,0.8776,18.2500,19.1250
kv_retrieval,25,100224,0.0000,0.9219,0.8005,0.8885,20.2500,18.6250
kv_retrieval,26,100224,0.0000,0.8359,0.8764,0.9433,18.8750,18.3750
kv_retrieval,27,100224,0.0000,1.0547,0.8292,0.8846,129.0000,23.0000
kv_retrieval,0,150400,2.6406,7.4062,0.7383,0.8163,179.0000,19.8750
kv_retrieval,1,150400,0.3027,6.3125,0.8463,0.9611,9.6875,9.3750
kv_retrieval,2,150400,0.0260,2.8281,0.7171,0.9743,9.1250,10.8125
kv_retrieval,3,150400,0.0001,3.8594,0.7944,0.9656,10.6250,9.8125
